Afro-American Studies,AFRAM 
American Ethnic Studies,AES 
Asian-American Studies,AAS 
Chicano Studies,CHSTU 
Swahili,SWA 
Tagalog,TAGLG 
American Indian Studies,AIS 
Anthropology,ANTH 
Archaeology,ARCHY 
Biocultural Anthropology,BIO A 
Applied Mathematics,AMATH 
Art,ART 
Art History,ART H 
Arts Program,ARTS 
Asian Languages and Literature,ASIAN 
Bengali,BENG 
Chinese,CHIN 
Hindi,HINDI 
Indian,INDN 
Indonesian,INDON 
Japanese,JAPAN 
Korean,KOREAN 
Sanskrit,SNKRT 
Thai,THAI 
Urdu,URDU 
Vietnamese,VIET 
Astronomy,ASTR 
Astrobiology,ASTBIO 
Atmospheric Sciences,ATM S 
Biology,BIOL 
Center for Statistics and Social Sciences,CS&SS 
Center for Studies in Demography and Ecology,CSDE 
Center for the Humanities,HUM 
Chemistry,CHEM 
Classical Archaeology,CL AR 
Classical Linguistics,CL LI 
Classics,CLAS 
Greek,GREEK 
Latin,LATIN 
Communication,COM 
Comparative History of Ideas,CHID 
Comparative Literature,C LIT 
Dance,DANCE 
Digital Arts and Experimental Media,DXARTS 
Disability Studies,DIS ST 
Drama,DRAMA 
Earth and Space Sciences,ESS 
Economics,ECON 
English,ENGL 
Gender Women and Sexuality Studies,GWSS 
General Studies,GEN ST 
General Interdisciplinary Studies,GIS 
Individualized Studies,INDIV 
Geography,GEOG 
Germanics,GERMAN 
Ancient and Medieval History,HSTAM 
History,HIST 
History of Asia,HSTAS 
History of the Americas,HSTAA 
Modern European History,HSTEU 
Honors,HONORS 
Humanities,HUM 
Integrated Sciences,INTSCI 
European Studies,EURO 
International Studies,SIS 
International Studies: African Studies,SISAF 
International Studies: Asian Studies,SISA 
International Studies: Canadian Studies,SISCA 
International Studies: Comparative Religion,RELIG 
International Studies: East Asian Studies,SISEA 
International Studies: Jewish Studies,SISJE 
International Studies: Latin American Studies,SISLA 
International Studies: Middle Eastern Studies,SISME 
International Studies: Russian,East European and Central Asian Studies,SISRE 
International Studies: South Asian Studies,SISSA 
International Studies: Southeast Asian Studies,SISSE 
Law Societies and Justice,LSJ 
American Sign Language,ASL 
French Linguistics,FRLING 
Linguistics,LING 
Romance Linguistics,ROLING 
Spanish Linguistics,SPLING 
Literature,LIT 
Mathematics,MATH 
Music,MUSIC 
Music - Applied,MUSAP 
Music Education,MUSED 
Music Ensemble,MUSEN 
Music History,MUHST 
Akkadian,AKKAD 
Arabic,ARAB 
Aramaic,ARAMIC 
Egyptian,EGYPT 
Hebrew,HEBR 
Near Eastern Languages and Civilization,NEAR E 
Persian,PRSAN 
Turkic,TKIC 
Turkish,TKISH 
Ugaritic,UGARIT 
Neurobiology,NBIO 
History and Philosophy of Science,HPS 
Philosophy,PHIL 
Values in Society,VALUES 
Physics,PHYS 
Political Science,POL S 
Psychology,PSYCH 
French,FRENCH 
Italian,ITAL 
Portuguese,PORT 
Romance Languages and Literature,ROMAN 
Romanian (Romance),RMN 
Spanish,SPAN 
Danish,DANISH 
Estonian,ESTO 
Finnish,FINN 
Icelandic,ICEL 
Latvian,LATV 
Lithuanian,LITH 
Norwegian,NORW 
Scandinavian,SCAND 
Swedish,SWED 
Bosnian/Croatian/Serbian,BCS 
Bulgarian,BULGR 
Czech,CZECH 
Georgian,GEORG 
Polish,POLSH 
Romanian,ROMN 
Russian,RUSS 
Slavic,SLAV 
Slavic Languages and Literatures,SLAVIC 
Slovenian,SLVN 
Ukrainian,UKR 
Social Sciences,SOCSCI 
Sociology,SOC 
Speech and Hearing Sciences,SPHSC 
Statistics,STAT 
Architecture,ARCH 
Built Environment,B E 
Construction Management,CM 
Landscape Architecture,L ARCH 
Community Environment and Planning,CEP 
Strategic Planning for Critical Infrastructure,SPCI 
Urban Planning,URBDP 
Accounting,ACCTG 
Administration,ADMIN 
Business Administration,B A 
Business Administration Research Methods,BA RM 
